id,locality,type,subtype,mainValue,type_of_sale,bedroomCount,netHabitableSurface,kitchen_type,isFurnished,fireplaceExists,hasTerrace,hasGarden,surface,facadeCount,hasSwimmingPool,condition
10665845,Deinze,URBAN,APARTMENT,395000,residential_sale,2,99,HYPER_EQUIPPED,0,0,1,1,0,4,0,AS_NEW
10668977,Seraing,ISOLATED,HOUSE,149000,residential_sale,2,105,SEMI_EQUIPPED,0,0,1,1,105,2,0,GOOD
10668949,Anderlecht,URBAN,APARTMENT,239000,residential_sale,2,82,USA_HYPER_EQUIPPED,0,0,0,0,0,2,0,AS_NEW
10669047,Evergem Sleidinge,0,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0
10656492,Gavere,URBAN,APARTMENT,265000,residential_sale,1,76,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10656488,Gavere,URBAN,APARTMENT,269000,residential_sale,1,76,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10668605,Blankenberge,LANDSCAPE,APARTMENT,289000,residential_sale,2,68,INSTALLED,1,1,1,0,0,0,0,GOOD
10656495,Gavere,URBAN,APARTMENT,316000,residential_sale,2,97,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10669125,Gent Sint-Denijs-Westrem,URBAN,APARTMENT,325000,residential_sale,2,91,INSTALLED,0,0,1,0,0,2,0,TO_BE_DONE_UP
10656491,Gavere,URBAN,APARTMENT,328500,residential_sale,2,97,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10669525,Brugge,0,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0
10656494,Gavere,URBAN,APARTMENT,356000,residential_sale,3,112,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10656490,Gavere,URBAN,APARTMENT,360000,residential_sale,3,111,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10656493,Gavere,URBAN,APARTMENT,366000,residential_sale,2,126,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10669108,Gent Sint-Denijs-Westrem,0,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0
10656489,Gavere,URBAN,APARTMENT,369500,residential_sale,3,126,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10669532,Brugge Assebroek,0,HOUSE_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0
10669506,Anderlecht,RESIDENTIAL,HOUSE,399000,residential_sale,4,170,SEMI_EQUIPPED,0,0,1,1,210,2,0,TO_BE_DONE_UP
10611828,Embourg,0,PENTHOUSE,399000,residential_sale,3,145,INSTALLED,0,1,1,0,0,3,0,GOOD
10611827,Embourg,0,APARTMENT,399000,residential_sale,3,145,INSTALLED,0,1,1,0,0,3,0,GOOD
10656485,Gavere,URBAN,APARTMENT,412500,residential_sale,2,165,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10668885,Antwerp,URBAN,APARTMENT,425000,residential_sale,3,108,USA_HYPER_EQUIPPED,0,0,1,0,0,2,0,GOOD
10656487,Gavere,URBAN,DUPLEX,426000,residential_sale,3,146,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10656486,Gavere,URBAN,DUPLEX,429500,residential_sale,3,148,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10669505,Wavre,ISOLATED,VILLA,435000,residential_sale,4,185,USA_INSTALLED,0,0,1,1,748,4,0,GOOD
10669214,Auderghem,0,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0
10669507,Anderlecht,RESIDENTIAL,EXCEPTIONAL_PROPERTY,960000,residential_sale,6,400,USA_HYPER_EQUIPPED,0,0,1,1,1090,3,0,AS_NEW
10669218,Auderghem,0,HOUSE_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0
10588500,Brussels City,0,LOFT,1250000,residential_sale,3,366,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW
10665844,Deinze,URBAN,APARTMENT,250000,residential_sale,1,63,HYPER_EQUIPPED,0,0,1,1,0,4,0,AS_NEW
10670133,Nieuwerkerken,0,HOUSE,459000,residential_sale,4,215,HYPER_EQUIPPED,0,0,1,1,502,0,0,GOOD
10670124,Moorslede,RESIDENTIAL,APARTMENT,269000,residential_sale,3,153,HYPER_EQUIPPED,0,0,1,0,0,3,0,AS_NEW
10670119,Wolvertem,0,VILLA,899000,residential_sale,4,389,INSTALLED,0,1,1,1,3264,4,0,GOOD
10670114,Essen,0,HOUSE,499000,residential_sale,4,267,INSTALLED,0,1,0,1,740,4,0,GOOD
10670113,Auvelais (Sambreville),URBAN,APARTMENT,78500,residential_sale,2,89,INSTALLED,0,0,1,0,0,2,0,GOOD
10670112,Pagkrati,0,APARTMENT,170000,residential_sale,1,52,0,1,0,0,0,0,0,0,GOOD
10670111,Agios Dimitrios,0,APARTMENT,245000,residential_sale,3,90,0,0,1,0,0,0,0,0,GOOD
10670110,Nea Lampsakos,0,APARTMENT,185000,residential_sale,3,100,0,0,0,0,0,0,0,0,AS_NEW
10670109,VAL-MEER,0,HOUSE,245000,residential_sale,3,150,SEMI_EQUIPPED,0,1,0,1,364,3,0,TO_BE_DONE_UP
10670108,Roeselare,URBAN,APARTMENT,220000,residential_sale,2,95,0,0,0,0,0,0,0,0,GOOD
10670106,Ichtegem,RESIDENTIAL,HOUSE,639000,residential_sale,3,280,0,0,0,1,0,1059,4,1,GOOD
10542456,Landen,COUNTRY,HOUSE,299000,residential_sale,5,174,0,0,0,1,1,330,3,0,GOOD
9297070,Verviers,URBAN,MIXED_USE_BUILDING,495000,residential_sale,10,1090,INSTALLED,0,0,1,0,286,3,0,TO_RENOVATE
9330999,Verviers,URBAN,MIXED_USE_BUILDING,179000,residential_sale,5,216,NOT_INSTALLED,0,0,0,1,200,2,0,TO_RENOVATE
